"PM 1";"PM 2.5";"PM 10";"TIme"
" 3";" 2";" 5";"4:50:55 PM"
"";"";"";"4:51:10 PM"
" 3";" 2";" 5";"4:51:11 PM"
" 3";" 2";" 5";"4:51:26 PM"
"";"";"";"4:51:41 PM"
" 2";" 2";" 5";"4:51:41 PM"
" 2";" 2";" 6";"4:51:56 PM"
"";"";"";"4:52:11 PM"
" 4";" 2";" 7";"4:52:12 PM"
" 4";" 2";" 7";"4:52:27 PM"
"";"";"";"4:52:42 PM"
" 2";" 2";" 4";"4:52:42 PM"
" 2";" 2";" 4";"4:52:57 PM"
"";"";"";"4:53:12 PM"
" 3";" 2";" 6";"4:53:13 PM"
" 3";" 2";" 6";"4:53:28 PM"
"";"";"";"4:53:43 PM"
" 3";" 2";" 3";"4:53:43 PM"
" 3";" 2";" 3";"4:53:58 PM"
"";"";"";"4:54:13 PM"
" 1";" 2";" 3";"4:54:14 PM"
" 1";" 2";" 3";"4:54:29 PM"
"";"";"";"4:54:44 PM"
" 3";" 2";" 4";"4:54:44 PM"
" 3";" 2";" 5";"4:54:59 PM"
"";"";"";"4:55:14 PM"
" 2";" 2";" 6";"4:55:15 PM"
" 2";" 2";" 6";"4:55:30 PM"
"";"";"";"4:55:45 PM"
" 4";" 2";" 5";"4:55:45 PM"
" 4";" 2";" 5";"4:56:00 PM"
"";"";"";"4:56:15 PM"
" 3";" 2";" 7";"4:56:15 PM"
" 3";" 2";" 7";"4:56:30 PM"
"";"";"";"4:56:45 PM"
" 2";" 2";" 3";"4:56:46 PM"
" 2";" 2";" 3";"4:57:01 PM"
"";"";"";"4:57:16 PM"
" 2";" 2";" 3";"4:57:16 PM"
" 2";" 2";" 2";"4:57:31 PM"
"";"";"";"4:57:46 PM"
" 1";" 2";" 3";"4:57:47 PM"
" 1";" 2";" 3";"4:58:02 PM"
"";"";"";"4:58:17 PM"
" 2";" 2";" 3";"4:58:17 PM"
" 2";" 2";" 3";"4:58:32 PM"
"";"";"";"4:58:47 PM"
" 1";" 2";" 2";"4:58:48 PM"
" 1";" 2";" 2";"4:59:03 PM"
"";"";"";"4:59:18 PM"
" 3";" 2";" 5";"4:59:18 PM"
" 3";" 2";" 5";"4:59:33 PM"
