"PM1;""PM2.5"";""PM 10"";""TIme"""
";"""";"""";""12:46:21 PM"""
"11;""13"";""13"";""12:46:22 PM"""
"11;""13"";""13"";""12:46:23 PM"""
"11;""13"";""13"";""12:46:25 PM"""
";"""";"""";""12:46:26 PM"""
";"""";"""";""12:46:27 PM"""
"11;""13"";""13"";""12:46:28 PM"""
"11;""13"";""14"";""12:46:29 PM"""
"11;""13"";""14"";""12:46:31 PM"""
";"""";"""";""12:46:32 PM"""
"10;""12"";""13"";""12:46:33 PM"""
"11;""14"";""14"";""12:46:35 PM"""
"11;""14"";""14"";""12:46:36 PM"""
";"""";"""";""12:46:38 PM"""
"11;""13"";""14"";""12:46:38 PM"""
"11;""13"";""14"";""12:46:40 PM"""
"12;""14"";""15"";""12:46:41 PM"""
";"""";"""";""12:46:43 PM"""
"11;""13"";""14"";""12:46:44 PM"""
"10;""13"";""14"";""12:46:45 PM"""
"11;""14"";""15"";""12:46:47 PM"""
";"""";"""";""12:46:48 PM"""
"10;""13"";""14"";""12:46:49 PM"""
"10;""13"";""14"";""12:46:50 PM"""
"10;""13"";""14"";""12:46:52 PM"""
";"""";"""";""12:46:53 PM"""
"10;""12"";""13"";""12:46:54 PM"""
"11;""13"";""13"";""12:46:56 PM"""
"11;""13"";""13"";""12:46:57 PM"""
";"""";"""";""12:46:59 PM"""
"12;""14"";""14"";""12:46:59 PM"""
"11;""13"";""13"";""12:47:01 PM"""
"11;""13"";""13"";""12:47:02 PM"""
";"""";"""";""12:47:04 PM"""
"11;""13"";""13"";""12:47:05 PM"""
"11;""13"";""13"";""12:47:06 PM"""
"11;""13"";""13"";""12:47:08 PM"""
";"""";"""";""12:47:09 PM"""
"11;""13"";""13"";""12:47:10 PM"""
"11;""13"";""13"";""12:47:11 PM"""
"11;""13"";""13"";""12:47:13 PM"""
";"""";"""";""12:47:14 PM"""
"13;""14"";""14"";""12:47:15 PM"""
"12;""14"";""14"";""12:47:17 PM"""
"12;""14"";""14"";""12:47:18 PM"""
";"""";"""";""12:47:20 PM"""
"12;""14"";""14"";""12:47:20 PM"""
"11;""14"";""14"";""12:47:22 PM"""
"12;""15"";""15"";""12:47:23 PM"""
";"""";"""";""12:47:25 PM"""
"11;""14"";""14"";""12:47:26 PM"""
"11;""14"";""15"";""12:47:27 PM"""
"11;""14"";""15"";""12:47:29 PM"""
";"""";"""";""12:47:30 PM"""
"11;""14"";""14"";""12:47:31 PM"""
"12;""14"";""15"";""12:47:32 PM"""
"12;""14"";""15"";""12:47:34 PM"""
";"""";"""";""12:47:35 PM"""
"12;""14"";""15"";""12:47:36 PM"""
"12;""15"";""15"";""12:47:37 PM"""
"12;""15"";""15"";""12:47:39 PM"""
";"""";"""";""12:47:40 PM"""
"12;""15"";""15"";""12:47:41 PM"""
"12;""14"";""15"";""12:47:43 PM"""
"12;""14"";""15"";""12:47:44 PM"""
";"""";"""";""12:47:46 PM"""
"12;""14"";""15"";""12:47:46 PM"""
"12;""14"";""15"";""12:47:48 PM"""
"12;""14"";""15"";""12:47:49 PM"""
";"""";"""";""12:47:51 PM"""
"12;""14"";""15"";""12:47:52 PM"""
"12;""14"";""14"";""12:47:53 PM"""
"12;""14"";""14"";""12:47:55 PM"""
";"""";"""";""12:47:56 PM"""
"12;""14"";""14"";""12:47:57 PM"""
"12;""14"";""14"";""12:47:58 PM"""
"12;""14"";""14"";""12:48:00 PM"""
";"""";"""";""12:48:01 PM"""
"11;""13"";""13"";""12:48:02 PM"""
"11;""13"";""13"";""12:48:04 PM"""
"12;""14"";""14"";""12:48:05 PM"""
";"""";"""";""12:48:07 PM"""
"11;""13"";""13"";""12:48:07 PM"""
"12;""14"";""14"";""12:48:09 PM"""
"12;""14"";""14"";""12:48:10 PM"""
