"PM1;""PM2.5"";""PM 10"";""TIme"""
"14;""16"";""16"";""12:28:39 PM"""
"14;""16"";""16"";""12:28:40 PM"""
"13;""15"";""15"";""12:28:42 PM"""
"11;""15"";""15"";""12:28:44 PM"""
"11;""15"";""15"";""12:28:46 PM"""
"12;""16"";""16"";""12:28:47 PM"""
"12;""16"";""16"";""12:28:49 PM"""
"13;""18"";""18"";""12:28:50 PM"""
"13;""18"";""18"";""12:28:52 PM"""
";"""";"""";""12:28:53 PM"""
"12;""17"";""17"";""12:28:54 PM"""
"13;""18"";""18"";""12:28:56 PM"""
"13;""18"";""18"";""12:28:57 PM"""
"13;""18"";""19"";""12:29:00 PM"""
"13;""18"";""19"";""12:29:01 PM"""
"12;""17"";""18"";""12:29:03 PM"""
"13;""18"";""21"";""12:29:05 PM"""
"13;""18"";""21"";""12:29:06 PM"""
"13;""18"";""21"";""12:29:08 PM"""
"12;""16"";""20"";""12:29:10 PM"""
"12;""16"";""20"";""12:29:11 PM"""
"12;""16"";""20"";""12:29:13 PM"""
"11;""15"";""19"";""12:29:15 PM"""
"11;""15"";""19"";""12:29:17 PM"""
"11;""15"";""19"";""12:29:18 PM"""
"12;""14"";""18"";""12:29:20 PM"""
"12;""14"";""18"";""12:29:22 PM"""
"12;""14"";""18"";""12:29:23 PM"""
"12;""14"";""17"";""12:29:26 PM"""
"12;""14"";""17"";""12:29:27 PM"""
"12;""14"";""17"";""12:29:29 PM"""
"12;""13"";""14"";""12:29:31 PM"""
"12;""13"";""14"";""12:29:32 PM"""
"12;""13"";""14"";""12:29:34 PM"""
"12;""14"";""14"";""12:29:36 PM"""
"13;""15"";""15"";""12:29:38 PM"""
"13;""15"";""15"";""12:29:39 PM"""
"12;""14"";""14"";""12:29:41 PM"""
"12;""14"";""14"";""12:29:43 PM"""
"12;""14"";""14"";""12:29:44 PM"""
"13;""15"";""15"";""12:29:47 PM"""
"13;""15"";""15"";""12:29:48 PM"""
"13;""15"";""15"";""12:29:50 PM"""
"13;""15"";""16"";""12:29:52 PM"""
"13;""15"";""16"";""12:29:53 PM"""
"13;""15"";""16"";""12:29:55 PM"""
"13;""16"";""17"";""12:29:57 PM"""
"13;""16"";""17"";""12:29:59 PM"""
"13;""16"";""17"";""12:30:00 PM"""
"13;""16"";""16"";""12:30:02 PM"""
"13;""16"";""16"";""12:30:04 PM"""
"14;""17"";""17"";""12:30:05 PM"""
"15;""18"";""19"";""12:30:08 PM"""
"15;""18"";""19"";""12:30:09 PM"""
"15;""18"";""19"";""12:30:11 PM"""
"16;""19"";""21"";""12:30:13 PM"""
"16;""19"";""21"";""12:30:14 PM"""
"16;""19"";""21"";""12:30:16 PM"""
"18;""20"";""21"";""12:30:18 PM"""
"17;""19"";""20"";""12:30:19 PM"""
"17;""19"";""20"";""12:30:21 PM"""
"18;""22"";""23"";""12:30:23 PM"""
"18;""22"";""23"";""12:30:25 PM"""
"12;""14"";""14"";""12:32:42 PM"""
"12;""13"";""13"";""12:32:44 PM"""
"12;""13"";""13"";""12:32:46 PM"""
"12;""13"";""13"";""12:32:47 PM"""
";"""";"""";""12:32:49 PM"""
"12;""14"";""14"";""12:32:50 PM"""
"12;""14"";""14"";""12:32:51 PM"""
"12;""14"";""14"";""12:32:53 PM"""
";"""";"""";""12:32:54 PM"""
"12;""14"";""14"";""12:32:55 PM"""
"12;""14"";""14"";""12:32:56 PM"""
"12;""14"";""14"";""12:32:58 PM"""
";"""";"""";""12:32:59 PM"""
"12;""14"";""14"";""12:33:00 PM"""
"12;""14"";""14"";""12:33:02 PM"""
"12;""14"";""14"";""12:33:03 PM"""
";"""";"""";""12:33:05 PM"""
"12;""15"";""15"";""12:33:05 PM"""
"12;""15"";""15"";""12:33:07 PM"""
"12;""15"";""15"";""12:33:08 PM"""
";"""";"""";""12:33:10 PM"""
"12;""14"";""14"";""12:33:11 PM"""
"12;""14"";""14"";""12:33:12 PM"""
"12;""14"";""14"";""12:33:14 PM"""
";"""";"""";""12:33:15 PM"""
"11;""13"";""13"";""12:33:16 PM"""
"12;""14"";""14"";""12:33:17 PM"""
"12;""14"";""14"";""12:33:19 PM"""
";"""";"""";""12:33:20 PM"""
"12;""13"";""13"";""12:33:21 PM"""
"12;""13"";""13"";""12:33:23 PM"""
"11;""12"";""12"";""12:33:24 PM"""
";"""";"""";""12:33:26 PM"""
"12;""13"";""13"";""12:33:26 PM"""
"12;""13"";""13"";""12:33:28 PM"""
"12;""13"";""13"";""12:33:29 PM"""
";"""";"""";""12:33:31 PM"""
";"""";"""";""12:33:31 PM"""
"11;""12"";""12"";""12:33:32 PM"""
"11;""12"";""12"";""12:33:34 PM"""
"10;""12"";""12"";""12:33:35 PM"""
";"""";"""";""12:33:37 PM"""
"10;""12"";""12"";""12:33:38 PM"""
"10;""12"";""12"";""12:33:39 PM"""
"9P;""1P"";""1"
";12:33:41 PM"""
";"""";"""";""12:33:42 PM"""
"10;""12"";""12"";""12:33:43 PM"""
"9P;""1P"";""1"
";12:33:44 PM"""
"9P;""1P"";""1"
";12:33:46 PM"""
";"""";"""";""12:33:47 PM"""
"9P;""2P"";""2"
";12:33:48 PM"""
"9P;""2P"";""2"
";12:33:50 PM"""
"10;""13"";""13"";""12:33:51 PM"""
";"""";"""";""12:33:53 PM"""
"10;""12"";""12"";""12:33:53 PM"""
"10;""12"";""12"";""12:33:55 PM"""
"10;""12"";""12"";""12:33:56 PM"""
";"""";"""";""12:33:58 PM"""
";"""";"""";""12:33:59 PM"""
"10;""12"";""12"";""12:33:59 PM"""
"10;""13"";""16"";""12:34:01 PM"""
"10;""13"";""16"";""12:34:02 PM"""
";"""";"""";""12:34:04 PM"""
"10;""14"";""16"";""12:34:05 PM"""
"11;""14"";""17"";""12:34:06 PM"""
"11;""14"";""17"";""12:34:08 PM"""
";"""";"""";""12:34:09 PM"""
"12;""16"";""18"";""12:34:10 PM"""
"11;""15"";""17"";""12:34:11 PM"""
"11;""15"";""17"";""12:34:13 PM"""
";"""";"""";""12:34:14 PM"""
"11;""14"";""17"";""12:34:15 PM"""
"11;""14"";""16"";""12:34:17 PM"""
"12;""15"";""17"";""12:34:18 PM"""
";"""";"""";""12:34:20 PM"""
"12;""15"";""17"";""12:34:20 PM"""
"12;""15"";""18"";""12:34:22 PM"""
"12;""15"";""18"";""12:34:23 PM"""
";"""";"""";""12:34:25 PM"""
"13;""16"";""18"";""12:34:26 PM"""
"13;""16"";""16"";""12:34:27 PM"""
"13;""16"";""16"";""12:34:29 PM"""
";"""";"""";""12:34:30 PM"""
"11;""14"";""14"";""12:34:31 PM"""
"11;""14"";""14"";""12:34:32 PM"""
"11;""14"";""15"";""12:34:34 PM"""
";"""";"""";""12:34:35 PM"""
"11;""15"";""16"";""12:34:36 PM"""
"11;""16"";""16"";""12:34:37 PM"""
"11;""15"";""16"";""12:34:39 PM"""
";"""";"""";""12:34:40 PM"""
"12;""18"";""19"";""12:34:40 PM"""
"13;""19"";""20"";""12:34:42 PM"""
"13;""19"";""20"";""12:34:43 PM"""
";"""";"""";""12:34:45 PM"""
"13;""18"";""19"";""12:34:45 PM"""
"13;""18"";""19"";""12:34:47 PM"""
"13;""18"";""19"";""12:34:48 PM"""
";"""";"""";""12:34:50 PM"""
"14;""19"";""19"";""12:34:51 PM"""
"14;""19"";""19"";""12:34:52 PM"""
"14;""19"";""19"";""12:34:54 PM"""
";"""";"""";""12:34:55 PM"""
"15;""18"";""18"";""12:34:56 PM"""
"15;""18"";""18"";""12:34:57 PM"""
"15;""18"";""18"";""12:34:59 PM"""
";"""";"""";""12:35:00 PM"""
"14;""17"";""17"";""12:35:01 PM"""
"14;""17"";""17"";""12:35:03 PM"""
"14;""17"";""17"";""12:35:04 PM"""
";"""";"""";""12:35:06 PM"""
"13;""15"";""15"";""12:35:06 PM"""
"13;""15"";""15"";""12:35:08 PM"""
"13;""15"";""15"";""12:35:09 PM"""
";"""";"""";""12:35:11 PM"""
"12;""14"";""14"";""12:35:12 PM"""
"12;""14"";""14"";""12:35:13 PM"""
"12;""14"";""14"";""12:35:15 PM"""
";"""";"""";""12:35:16 PM"""
"11;""13"";""13"";""12:35:17 PM"""
"11;""13"";""13"";""12:35:18 PM"""
"11;""13"";""13"";""12:35:20 PM"""
";"""";"""";""12:35:21 PM"""
";"""";"""";""12:35:22 PM"""
"10;""13"";""13"";""12:35:23 PM"""
"10;""13"";""13"";""12:35:24 PM"""
"10;""13"";""13"";""12:35:26 PM"""
";"""";"""";""12:35:27 PM"""
"10;""13"";""13"";""12:35:28 PM"""
"10;""13"";""13"";""12:35:30 PM"""
"9P;""1P"";""1"
";12:35:31 PM"""
";"""";"""";""12:35:33 PM"""
"8P;""1P"";""1"
";12:35:33 PM"""
"8P;""1P"";""1"
";12:35:35 PM"""
"9P;""2P"";""2"
";12:35:36 PM"""
";"""";"""";""12:35:38 PM"""
