"PM 1";"PM2.5";"PM10";"Time"
"";"";"";"5:18:18 PM"
" 0";" 2";" 0";"5:18:18 PM"
" 0";" 2";" 0";"5:18:21 PM"
"";"";"";"5:18:24 PM"
" 0";" 2";" 0";"5:18:24 PM"
" 0";" 2";" 0";"5:18:27 PM"
"";"";"";"5:18:30 PM"
" 0";" 2";" 0";"5:18:30 PM"
" 0";" 2";" 0";"5:18:33 PM"
"";"";"";"5:18:36 PM"
" 0";" 2";" 0";"5:18:36 PM"
" 0";" 2";" 0";"5:19:07 PM"
" 0";" 2";" 0";"5:19:37 PM"
"";"";"";"5:20:07 PM"
" 0";" 2";" 0";"5:20:07 PM"
" 0";" 2";" 0";"5:20:37 PM"
"";"";"";"5:21:07 PM"
" 0";" 2";" 0";"5:21:07 PM"
" 0";" 2";" 0";"5:21:37 PM"
"";"";"";"5:22:07 PM"
" 0";" 2";" 0";"5:22:07 PM"
" 0";" 2";" 0";"5:22:37 PM"
"";"";"";"5:23:07 PM"
" 0";" 2";" 1";"5:23:07 PM"
" 0";" 2";" 0";"5:23:37 PM"
"";"";"";"5:24:07 PM"
" 0";" 2";" 0";"5:24:07 PM"
" 0";" 2";" 0";"5:24:37 PM"
"";"";"";"5:25:07 PM"
" 0";" 2";" 0";"5:25:07 PM"
" 0";" 2";" 0";"5:25:37 PM"
"";"";"";"5:26:07 PM"
" 0";" 2";" 0";"5:26:08 PM"
" 0";" 2";" 0";"5:26:38 PM"
"";"";"";"5:27:08 PM"
" 0";" 2";" 0";"5:27:08 PM"
" 0";" 2";" 0";"5:27:38 PM"
"";"";"";"5:28:08 PM"
" 0";" 2";" 0";"5:28:08 PM"
" 0";" 2";" 0";"5:28:38 PM"
"";"";"";"5:29:08 PM"
" 0";" 2";" 0";"5:29:08 PM"
" 0";" 2";" 0";"5:29:38 PM"
"";"";"";"5:30:08 PM"
"";"";"";"5:30:08 PM"
" 0";" 2";" 0";"5:30:09 PM"
" 0";" 2";" 0";"5:30:39 PM"
"";"";"";"5:31:09 PM"
" 0";" 2";" 0";"5:31:09 PM"
" 0";" 2";" 0";"5:31:39 PM"
"";"";"";"5:32:09 PM"
" 0";" 2";" 0";"5:32:09 PM"
" 0";" 2";" 0";"5:32:39 PM"
"";"";"";"5:33:09 PM"
" 0";" 2";" 0";"5:33:09 PM"
" 0";" 2";" 0";"5:33:40 PM"
"";"";"";"5:34:09 PM"
" 0";" 2";" 0";"5:34:10 PM"
" 0";" 2";" 0";"5:34:40 PM"
"";"";"";"5:35:10 PM"
" 0";" 2";" 0";"5:35:10 PM"
" 0";" 2";" 0";"5:35:40 PM"
"";"";"";"5:36:10 PM"
" 0";" 2";" 0";"5:36:10 PM"
" 0";" 2";" 0";"5:36:40 PM"
"";"";"";"5:37:10 PM"
" 0";" 2";" 0";"5:37:10 PM"
" 0";" 2";" 0";"5:37:40 PM"
"";"";"";"5:38:10 PM"
" 0";" 2";" 0";"5:38:10 PM"
" 0";" 2";" 0";"5:38:40 PM"
"";"";"";"5:39:10 PM"
" 0";" 2";" 1";"5:39:10 PM"
" 0";" 2";" 1";"5:39:40 PM"
"";"";"";"5:40:10 PM"
" 0";" 2";" 0";"5:40:10 PM"
" 0";" 2";" 0";"5:40:40 PM"
"";"";"";"5:41:10 PM"
" 0";" 2";" 0";"5:41:11 PM"
" 0";" 2";" 0";"5:41:41 PM"
"";"";"";"5:42:11 PM"
" 0";" 2";" 0";"5:42:11 PM"
" 0";" 2";" 0";"5:42:41 PM"
"";"";"";"5:43:11 PM"
" 0";" 2";" 0";"5:43:11 PM"
" 0";" 2";" 1";"5:43:41 PM"
"";"";"";"5:44:11 PM"
" 0";" 2";" 0";"5:44:11 PM"
" 0";" 2";" 0";"5:44:41 PM"
"";"";"";"5:45:11 PM"
" 0";" 2";" 1";"5:45:11 PM"
" 0";" 2";" 1";"5:45:41 PM"
"";"";"";"5:46:11 PM"
" 0";" 2";" 0";"5:46:11 PM"
" 0";" 2";" 0";"5:46:41 PM"
"";"";"";"5:47:11 PM"
" 0";" 2";" 0";"5:47:11 PM"
" 0";" 2";" 0";"5:47:41 PM"
"";"";"";"5:48:11 PM"
" 0";" 2";" 0";"5:48:12 PM"
" 0";" 2";" 0";"5:48:42 PM"
"";"";"";"5:49:12 PM"
" 0";" 2";" 1";"5:49:12 PM"
" 0";" 2";" 1";"5:49:42 PM"
"";"";"";"5:50:12 PM"
" 0";" 2";" 0";"5:50:12 PM"
" 0";" 2";" 0";"5:50:42 PM"
"";"";"";"5:51:12 PM"
" 0";" 2";" 0";"5:51:12 PM"
" 0";" 2";" 0";"5:51:42 PM"
"";"";"";"5:52:12 PM"
" 0";" 2";" 1";"5:52:12 PM"
" 0";" 2";" 1";"5:52:42 PM"
"";"";"";"5:53:12 PM"
" 0";" 2";" 1";"5:53:12 PM"
" 0";" 2";" 1";"5:53:42 PM"
"";"";"";"5:54:12 PM"
" 0";" 2";" 0";"5:54:12 PM"
" 0";" 2";" 0";"5:54:42 PM"
"";"";"";"5:55:12 PM"
" 0";" 2";" 0";"5:55:13 PM"
" 0";" 2";" 0";"5:55:43 PM"
"";"";"";"5:56:13 PM"
" 0";" 2";" 0";"5:56:13 PM"
" 0";" 2";" 0";"5:56:43 PM"
"";"";"";"5:57:13 PM"
" 0";" 2";" 0";"5:57:13 PM"
" 0";" 2";" 0";"5:57:43 PM"
"";"";"";"5:58:13 PM"
" 0";" 2";" 0";"5:58:13 PM"
" 0";" 2";" 0";"5:58:43 PM"
"";"";"";"5:59:13 PM"
" 0";" 2";" 1";"5:59:13 PM"
" 0";" 2";" 1";"5:59:43 PM"
"";"";"";"6:00:13 PM"
"";"";"";"6:00:13 PM"
" 0";" 2";" 0";"6:00:14 PM"
" 0";" 2";" 0";"6:00:44 PM"
"";"";"";"6:01:14 PM"
" 0";" 2";" 0";"6:01:14 PM"
" 0";" 2";" 0";"6:01:44 PM"
"";"";"";"6:02:14 PM"
" 0";" 2";" 0";"6:02:14 PM"
" 0";" 2";" 0";"6:02:44 PM"
"";"";"";"6:03:14 PM"
" 0";" 2";" 0";"6:03:14 PM"
" 0";" 2";" 0";"6:03:45 PM"
"";"";"";"6:04:14 PM"
" 0";" 2";" 0";"6:04:15 PM"
" 0";" 2";" 0";"6:04:45 PM"
"";"";"";"6:05:15 PM"
" 0";" 2";" 0";"6:05:15 PM"
